Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating,Column1
ID1746,31/01/2016 14:05,Jim,Toaster,Y,Y,18,0:06:16,1,#ERROR!
ID1747,31/01/2016 14:05,Becky,Toaster,Y,Y,95,0:02:27,4,#ERROR!
ID1748,31/01/2016 14:05,Becky,Television,Y,Y,17,0:05:25,3,#ERROR!
ID1749,31/01/2016 14:05,Jim,Air Conditioner,N,N,,,,#ERROR!
ID1750,31/01/2016 14:05,Stewart,Toaster,Y,Y,75,0:00:33,3,#ERROR!
ID1743,31/01/2016 12:50,Stewart,Fridge,Y,Y,123,0:06:18,2,#ERROR!
ID1744,31/01/2016 12:50,Martha,Washing Machine,N,N,,,,#ERROR!
ID1741,31/01/2016 12:43,Dan,Air Conditioner,Y,Y,28,0:06:11,4,#ERROR!
ID1742,31/01/2016 12:43,Dan,Toaster,Y,Y,16,0:03:31,1,#ERROR!
ID1739,31/01/2016 12:37,Stewart,Toaster,Y,N,17,0:03:49,5,#ERROR!
ID1740,31/01/2016 12:37,Jim,Television,N,N,,,,#ERROR!
ID1737,31/01/2016 12:15,Diane,Toaster,Y,Y,37,0:06:57,4,#ERROR!
ID1738,31/01/2016 12:15,Dan,Air Conditioner,Y,Y,29,0:06:29,5,#ERROR!
ID1733,31/01/2016 12:00,Greg,Toaster,Y,Y,102,0:03:48,3,#ERROR!
ID1734,31/01/2016 12:00,Dan,Air Conditioner,Y,Y,112,0:06:43,3,#ERROR!
ID1735,31/01/2016 12:00,Jim,Air Conditioner,Y,Y,107,0:03:14,1,#ERROR!
ID1736,31/01/2016 12:00,Stewart,Washing Machine,Y,Y,93,0:02:39,5,#ERROR!
ID1731,31/01/2016 11:58,Dan,Washing Machine,N,N,,,,#ERROR!
ID1732,31/01/2016 11:58,Diane,Toaster,Y,Y,38,0:03:48,4,#ERROR!
ID1729,31/01/2016 11:39,Dan,Toaster,Y,Y,79,0:01:21,5,#ERROR!
ID1730,31/01/2016 11:39,Joe,Air Conditioner,Y,Y,42,0:01:40,5,#ERROR!
ID1727,31/01/2016 11:35,Joe,Fridge,N,N,,,,#ERROR!
ID1728,31/01/2016 11:35,Joe,Washing Machine,Y,Y,88,0:01:11,1,#ERROR!
ID1725,31/01/2016 11:32,Jim,Toaster,N,N,,,,#ERROR!
ID1726,31/01/2016 11:32,Greg,Washing Machine,N,N,,,,#ERROR!
ID1723,31/01/2016 9:30,Stewart,Washing Machine,Y,Y,120,0:03:10,1,#ERROR!
ID1724,31/01/2016 9:30,Joe,Toaster,Y,Y,73,0:05:43,2,#ERROR!
ID1721,31/01/2016 9:27,Diane,Toaster,Y,N,67,0:00:58,1,#ERROR!
ID1722,31/01/2016 9:27,Becky,Television,Y,Y,16,0:05:36,5,#ERROR!
ID1719,31/01/2016 9:24,Diane,Washing Machine,Y,Y,32,0:06:00,1,#ERROR!
ID1720,31/01/2016 9:24,Greg,Television,N,N,,,,#ERROR!
ID1717,31/01/2016 9:14,Becky,Air Conditioner,Y,Y,30,0:00:59,5,#ERROR!
ID1718,31/01/2016 9:14,Stewart,Washing Machine,Y,Y,23,0:06:40,3,#ERROR!
ID1715,31/01/2016 9:08,Greg,Toaster,Y,Y,27,0:03:12,3,#ERROR!
ID1716,31/01/2016 9:08,Joe,Washing Machine,Y,Y,119,0:02:42,4,#ERROR!
ID1713,31/01/2016 9:00,Dan,Toaster,Y,N,100,0:06:22,5,#ERROR!
ID1714,31/01/2016 9:00,Becky,Toaster,Y,Y,114,0:05:42,4,#ERROR!
ID1711,30/01/2016 17:31,Stewart,Toaster,Y,Y,97,0:02:52,3,#ERROR!
ID1712,30/01/2016 17:31,Jim,Television,Y,Y,20,0:05:07,5,#ERROR!
ID1709,30/01/2016 17:29,Stewart,Washing Machine,Y,N,50,0:01:19,2,#ERROR!
ID1710,30/01/2016 17:29,Becky,Washing Machine,Y,N,33,0:03:56,4,#ERROR!
ID1707,30/01/2016 17:25,Martha,Toaster,N,N,,,,#ERROR!
ID1708,30/01/2016 17:25,Dan,Television,Y,Y,38,0:06:51,2,#ERROR!
ID1705,30/01/2016 17:18,Stewart,Washing Machine,N,N,,,,#ERROR!
ID1706,30/01/2016 17:18,Jim,Fridge,N,N,,,,#ERROR!
ID1703,30/01/2016 17:12,Diane,Television,Y,Y,103,0:03:39,2,#ERROR!
ID1704,30/01/2016 17:12,Greg,Toaster,Y,Y,114,0:03:22,3,#ERROR!
ID1701,30/01/2016 17:09,Diane,Air Conditioner,Y,Y,49,0:06:33,5,#ERROR!
ID1702,30/01/2016 17:09,Greg,Television,Y,Y,33,0:01:05,5,#ERROR!
ID1699,30/01/2016 16:52,Dan,Television,Y,Y,17,0:03:12,3,#ERROR!
ID1700,30/01/2016 16:52,Becky,Washing Machine,Y,Y,53,0:03:40,1,#ERROR!
ID1697,30/01/2016 16:49,Dan,Air Conditioner,N,N,,,,#ERROR!
ID1698,30/01/2016 16:49,Jim,Fridge,Y,Y,107,0:03:17,3,#ERROR!
ID1695,30/01/2016 16:32,Jim,Air Conditioner,N,N,,,,#ERROR!
ID1696,30/01/2016 16:32,Jim,Washing Machine,N,N,,,,#ERROR!
ID1691,30/01/2016 16:19,Becky,Air Conditioner,Y,Y,91,0:00:50,3,#ERROR!
ID1692,30/01/2016 16:19,Stewart,Air Conditioner,Y,Y,71,0:01:27,2,#ERROR!
ID1693,30/01/2016 16:19,Greg,Washing Machine,N,N,,,,#ERROR!
ID1694,30/01/2016 16:19,Stewart,Washing Machine,Y,Y,78,0:04:26,3,#ERROR!
ID1689,30/01/2016 16:13,Stewart,Fridge,Y,N,65,0:03:41,4,#ERROR!
ID1690,30/01/2016 16:13,Becky,Fridge,N,N,,,,#ERROR!
ID1687,30/01/2016 15:59,Dan,Air Conditioner,Y,Y,18,0:04:41,3,#ERROR!
ID1688,30/01/2016 15:59,Greg,Television,Y,Y,31,0:04:18,4,#ERROR!
ID1685,30/01/2016 15:51,Dan,Air Conditioner,Y,Y,111,0:02:35,5,#ERROR!
ID1686,30/01/2016 15:51,Diane,Washing Machine,Y,Y,27,0:03:37,5,#ERROR!
ID1683,30/01/2016 15:44,Stewart,Fridge,Y,Y,78,0:05:09,1,#ERROR!
ID1684,30/01/2016 15:44,Diane,Toaster,N,N,,,,#ERROR!
ID1681,30/01/2016 15:38,Joe,Toaster,Y,Y,33,0:01:19,2,#ERROR!
ID1682,30/01/2016 15:38,Martha,Fridge,Y,Y,124,0:04:48,5,#ERROR!
ID1679,30/01/2016 15:00,Becky,Toaster,Y,Y,19,0:05:57,1,#ERROR!
ID1680,30/01/2016 15:00,Martha,Washing Machine,Y,Y,97,0:06:53,5,#ERROR!
ID1677,30/01/2016 14:36,Joe,Toaster,Y,N,68,0:01:05,2,#ERROR!
ID1678,30/01/2016 14:36,Greg,Television,Y,Y,33,0:04:35,3,#ERROR!
ID1675,30/01/2016 14:11,Stewart,Toaster,Y,N,122,0:03:36,3,#ERROR!
ID1676,30/01/2016 14:11,Becky,Air Conditioner,Y,Y,78,0:05:41,2,#ERROR!
ID1673,30/01/2016 14:09,Stewart,Washing Machine,Y,Y,85,0:03:04,4,#ERROR!
ID1674,30/01/2016 14:09,Stewart,Toaster,N,N,,,,#ERROR!
ID1671,30/01/2016 14:00,Joe,Air Conditioner,Y,N,19,0:02:16,4,#ERROR!
ID1672,30/01/2016 14:00,Joe,Toaster,N,N,,,,#ERROR!
ID1669,30/01/2016 13:39,Becky,Fridge,Y,Y,88,0:06:12,5,#ERROR!
ID1670,30/01/2016 13:39,Dan,Air Conditioner,Y,N,45,0:06:50,4,#ERROR!
ID1667,30/01/2016 13:03,Dan,Television,Y,Y,17,0:03:40,5,#ERROR!
ID1668,30/01/2016 13:03,Becky,Air Conditioner,Y,Y,27,0:02:47,5,#ERROR!
ID1665,30/01/2016 12:51,Dan,Toaster,Y,Y,16,0:04:08,1,#ERROR!
ID1666,30/01/2016 12:51,Martha,Air Conditioner,Y,Y,43,0:01:54,1,#ERROR!
ID1663,30/01/2016 12:48,Stewart,Toaster,Y,Y,116,0:06:13,4,#ERROR!
ID1664,30/01/2016 12:48,Becky,Toaster,Y,N,98,0:06:11,5,#ERROR!
ID1661,30/01/2016 12:44,Jim,Fridge,Y,Y,41,0:01:28,3,#ERROR!
ID1662,30/01/2016 12:44,Becky,Television,Y,Y,69,0:06:58,2,#ERROR!
ID1659,30/01/2016 12:40,Martha,Fridge,Y,Y,13,0:02:03,4,#ERROR!
ID1660,30/01/2016 12:40,Greg,Television,Y,N,91,0:04:01,3,#ERROR!
ID1657,30/01/2016 12:37,Dan,Washing Machine,Y,Y,32,0:02:05,4,#ERROR!
ID1658,30/01/2016 12:37,Martha,Washing Machine,N,N,,,,#ERROR!
ID1655,30/01/2016 12:23,Dan,Toaster,Y,Y,13,0:05:51,3,#ERROR!
ID1656,30/01/2016 12:23,Diane,Washing Machine,Y,Y,78,0:04:34,5,#ERROR!
ID1653,30/01/2016 12:17,Diane,Television,Y,Y,53,0:01:24,3,#ERROR!
ID1654,30/01/2016 12:17,Stewart,Fridge,Y,Y,52,0:06:10,3,#ERROR!
ID1651,30/01/2016 11:52,Jim,Air Conditioner,Y,Y,118,0:02:13,4,#ERROR!
ID1652,30/01/2016 11:52,Martha,Fridge,Y,N,68,0:02:38,2,#ERROR!
ID1649,30/01/2016 11:26,Jim,Washing Machine,Y,Y,79,0:04:34,4,#ERROR!
ID1650,30/01/2016 11:26,Stewart,Washing Machine,Y,N,94,0:06:56,5,#ERROR!
ID1647,30/01/2016 11:12,Dan,Television,N,N,,,,#ERROR!
ID1648,30/01/2016 11:12,Jim,Air Conditioner,Y,Y,23,0:05:59,5,#ERROR!
ID1645,30/01/2016 10:40,Becky,Toaster,Y,Y,22,0:00:43,3,#ERROR!
ID1646,30/01/2016 10:40,Diane,Toaster,Y,Y,20,0:04:58,4,#ERROR!
ID1643,30/01/2016 10:27,Jim,Air Conditioner,Y,Y,57,0:04:26,5,#ERROR!
ID1644,30/01/2016 10:27,Martha,Television,Y,Y,113,0:02:34,3,#ERROR!
ID1641,30/01/2016 10:09,Greg,Air Conditioner,Y,Y,99,0:02:32,2,#ERROR!
ID1642,30/01/2016 10:09,Joe,Toaster,Y,Y,77,0:04:24,4,#ERROR!
ID1639,30/01/2016 10:07,Stewart,Air Conditioner,Y,Y,116,0:03:30,1,#ERROR!
ID1640,30/01/2016 10:07,Joe,Television,Y,Y,118,0:02:46,2,#ERROR!
ID1637,30/01/2016 9:53,Diane,Television,Y,Y,124,0:01:01,4,#ERROR!
ID1638,30/01/2016 9:53,Becky,Toaster,Y,N,92,0:02:01,5,#ERROR!
ID1635,30/01/2016 9:47,Dan,Fridge,Y,Y,12,0:05:56,5,#ERROR!
ID1636,30/01/2016 9:47,Jim,Washing Machine,Y,Y,85,0:03:42,3,#ERROR!
ID1633,30/01/2016 9:05,Diane,Washing Machine,Y,Y,84,0:01:42,4,#ERROR!
ID1634,30/01/2016 9:05,Becky,Toaster,Y,Y,84,0:04:58,5,#ERROR!
ID1631,29/01/2016 17:52,Stewart,Air Conditioner,N,N,,,,#ERROR!
ID1632,29/01/2016 17:52,Stewart,Fridge,Y,Y,53,0:01:44,4,#ERROR!
ID1629,29/01/2016 17:41,Greg,Fridge,Y,Y,28,0:00:39,4,#ERROR!
ID1630,29/01/2016 17:41,Diane,Television,Y,N,43,0:02:08,4,#ERROR!
ID1627,29/01/2016 17:12,Greg,Toaster,Y,N,124,0:04:18,5,#ERROR!
ID1628,29/01/2016 17:12,Martha,Washing Machine,Y,Y,44,0:02:37,4,#ERROR!
ID1625,29/01/2016 16:10,Joe,Television,N,N,,,,#ERROR!
ID1626,29/01/2016 16:10,Joe,Air Conditioner,N,N,,,,#ERROR!
ID1623,29/01/2016 15:51,Dan,Air Conditioner,Y,Y,65,0:01:48,3,#ERROR!
ID1624,29/01/2016 15:51,Becky,Toaster,N,N,,,,#ERROR!
ID1621,29/01/2016 15:46,Greg,Fridge,Y,Y,88,0:05:50,5,#ERROR!
ID1622,29/01/2016 15:46,Stewart,Air Conditioner,Y,Y,93,0:03:09,5,#ERROR!
ID1619,29/01/2016 15:44,Diane,Toaster,Y,Y,75,0:04:18,2,#ERROR!
ID1620,29/01/2016 15:44,Jim,Washing Machine,Y,Y,20,0:06:53,3,#ERROR!
ID1617,29/01/2016 15:21,Stewart,Washing Machine,Y,Y,84,0:06:43,3,#ERROR!
ID1618,29/01/2016 15:21,Joe,Toaster,Y,N,105,0:02:23,3,#ERROR!
ID1615,29/01/2016 15:08,Diane,Air Conditioner,Y,Y,45,0:05:51,3,#ERROR!
ID1616,29/01/2016 15:08,Diane,Air Conditioner,Y,Y,29,0:04:48,3,#ERROR!
ID1613,29/01/2016 14:49,Becky,Washing Machine,Y,Y,23,0:00:45,4,#ERROR!
ID1614,29/01/2016 14:49,Jim,Television,Y,Y,34,0:03:54,3,#ERROR!
ID1611,29/01/2016 14:32,Stewart,Washing Machine,N,N,,,,#ERROR!
ID1612,29/01/2016 14:32,Dan,Fridge,Y,Y,65,0:05:13,5,#ERROR!
ID1609,29/01/2016 14:11,Diane,Television,Y,N,83,0:00:34,4,#ERROR!
ID1610,29/01/2016 14:11,Stewart,Air Conditioner,N,N,,,,#ERROR!
ID1607,29/01/2016 13:37,Becky,Washing Machine,Y,Y,14,0:02:10,4,#ERROR!
ID1608,29/01/2016 13:37,Dan,Toaster,Y,Y,77,0:02:36,3,#ERROR!
ID1605,29/01/2016 13:12,Greg,Washing Machine,Y,Y,102,0:04:45,3,#ERROR!
ID1606,29/01/2016 13:12,Dan,Fridge,Y,N,75,0:05:30,3,#ERROR!
ID1603,29/01/2016 13:04,Diane,Fridge,Y,Y,23,0:01:20,4,#ERROR!
ID1604,29/01/2016 13:04,Diane,Fridge,Y,Y,39,0:01:09,1,#ERROR!
ID1601,29/01/2016 13:00,Martha,Washing Machine,Y,Y,68,0:00:45,4,#ERROR!
ID1602,29/01/2016 13:00,Jim,Washing Machine,Y,Y,17,0:05:47,3,#ERROR!
ID1597,29/01/2016 12:51,Diane,Air Conditioner,Y,Y,112,0:04:29,3,#ERROR!
ID1598,29/01/2016 12:51,Martha,Toaster,Y,Y,98,0:03:09,4,#ERROR!
ID1599,29/01/2016 12:51,Stewart,Toaster,Y,Y,105,0:03:13,2,#ERROR!
ID1600,29/01/2016 12:51,Diane,Air Conditioner,Y,Y,78,0:03:03,5,#ERROR!
ID1595,29/01/2016 12:46,Dan,Television,Y,Y,37,0:05:23,3,#ERROR!
ID1596,29/01/2016 12:46,Stewart,Toaster,Y,N,42,0:03:37,4,#ERROR!
ID1593,29/01/2016 12:44,Joe,Toaster,Y,Y,62,0:02:21,1,#ERROR!
ID1594,29/01/2016 12:44,Joe,Air Conditioner,Y,Y,122,0:04:58,3,#ERROR!
ID1591,29/01/2016 11:57,Diane,Toaster,N,N,,,,#ERROR!
ID1592,29/01/2016 11:57,Greg,Air Conditioner,Y,Y,11,0:04:23,5,#ERROR!
ID1589,29/01/2016 10:52,Stewart,Fridge,Y,Y,92,0:03:13,5,#ERROR!
ID1590,29/01/2016 10:52,Jim,Air Conditioner,Y,Y,51,0:02:40,2,#ERROR!
ID1587,29/01/2016 10:50,Diane,Air Conditioner,Y,Y,59,0:04:55,4,#ERROR!
ID1588,29/01/2016 10:50,Jim,Air Conditioner,N,N,,,,#ERROR!
ID1585,29/01/2016 10:29,Joe,Washing Machine,Y,Y,118,0:04:03,3,#ERROR!
ID1586,29/01/2016 10:29,Jim,Toaster,Y,Y,94,0:01:12,3,#ERROR!
ID1583,29/01/2016 10:20,Greg,Fridge,Y,Y,43,0:02:05,4,#ERROR!
ID1584,29/01/2016 10:20,Becky,Toaster,N,N,,,,#ERROR!
ID1581,29/01/2016 9:57,Dan,Television,Y,Y,95,0:01:46,5,#ERROR!
ID1582,29/01/2016 9:57,Dan,Air Conditioner,Y,Y,23,0:06:15,4,#ERROR!
ID1579,29/01/2016 9:20,Greg,Fridge,Y,Y,22,0:04:57,3,#ERROR!
ID1580,29/01/2016 9:20,Stewart,Toaster,N,N,,,,#ERROR!
ID1577,29/01/2016 9:08,Dan,Toaster,Y,Y,87,0:01:09,5,#ERROR!
ID1578,29/01/2016 9:08,Greg,Toaster,N,N,,,,#ERROR!
ID1575,29/01/2016 9:02,Greg,Fridge,Y,Y,55,0:03:08,4,#ERROR!
ID1576,29/01/2016 9:02,Jim,Fridge,N,N,,,,#ERROR!
ID1573,28/01/2016 18:00,Diane,Toaster,Y,Y,54,0:06:11,2,#ERROR!
ID1574,28/01/2016 18:00,Stewart,Television,Y,Y,82,0:05:46,5,#ERROR!
ID1571,28/01/2016 17:52,Diane,Toaster,Y,Y,61,0:00:43,1,#ERROR!
ID1572,28/01/2016 17:52,Martha,Fridge,N,N,,,,#ERROR!
ID1569,28/01/2016 17:16,Martha,Air Conditioner,Y,Y,84,0:04:17,4,#ERROR!
ID1570,28/01/2016 17:16,Greg,Washing Machine,Y,Y,121,0:01:57,4,#ERROR!
ID1567,28/01/2016 17:03,Dan,Toaster,Y,Y,27,0:03:16,4,#ERROR!
ID1568,28/01/2016 17:03,Dan,Television,Y,Y,41,0:03:17,4,#ERROR!
ID1565,28/01/2016 16:40,Dan,Washing Machine,Y,Y,94,0:01:43,4,#ERROR!
ID1566,28/01/2016 16:40,Joe,Television,Y,N,80,0:05:00,4,#ERROR!
ID1563,28/01/2016 16:19,Greg,Washing Machine,Y,Y,29,0:04:35,3,#ERROR!
ID1564,28/01/2016 16:19,Greg,Fridge,Y,Y,67,0:06:42,2,#ERROR!
ID1561,28/01/2016 16:13,Diane,Television,N,N,,,,#ERROR!
ID1562,28/01/2016 16:13,Jim,Television,Y,Y,66,0:02:36,3,#ERROR!
ID1559,28/01/2016 15:53,Greg,Air Conditioner,Y,Y,93,0:06:31,3,#ERROR!
ID1560,28/01/2016 15:53,Joe,Toaster,Y,Y,61,0:02:01,1,#ERROR!
ID1557,28/01/2016 14:57,Diane,Television,Y,Y,45,0:03:52,4,#ERROR!
ID1558,28/01/2016 14:57,Becky,Air Conditioner,N,N,,,,#ERROR!
ID1555,28/01/2016 14:32,Dan,Fridge,Y,Y,25,0:02:15,2,#ERROR!
ID1556,28/01/2016 14:32,Jim,Fridge,Y,Y,46,0:02:57,4,#ERROR!
ID1553,28/01/2016 14:19,Dan,Television,Y,Y,23,0:03:16,3,#ERROR!
ID1554,28/01/2016 14:19,Joe,Washing Machine,Y,N,86,0:03:51,3,#ERROR!
ID1551,28/01/2016 14:18,Joe,Toaster,Y,Y,70,0:05:53,1,#ERROR!
ID1552,28/01/2016 14:18,Martha,Television,Y,Y,101,0:05:52,5,#ERROR!
ID1549,28/01/2016 13:19,Diane,Television,Y,Y,45,0:03:26,1,#ERROR!
ID1550,28/01/2016 13:19,Stewart,Air Conditioner,Y,Y,24,0:02:16,4,#ERROR!
ID1547,28/01/2016 13:17,Joe,Fridge,Y,Y,44,0:02:09,5,#ERROR!
ID1548,28/01/2016 13:17,Stewart,Television,Y,Y,10,0:01:51,3,#ERROR!
ID1545,28/01/2016 13:00,Jim,Washing Machine,N,N,,,,#ERROR!
ID1546,28/01/2016 13:00,Dan,Television,Y,Y,101,0:05:22,4,#ERROR!
ID1543,28/01/2016 12:46,Martha,Washing Machine,Y,Y,111,0:03:55,5,#ERROR!
ID1544,28/01/2016 12:46,Becky,Television,Y,Y,123,0:00:41,4,#ERROR!
ID1541,28/01/2016 11:55,Dan,Washing Machine,Y,Y,28,0:05:25,3,#ERROR!
ID1542,28/01/2016 11:55,Becky,Washing Machine,Y,Y,90,0:03:49,3,#ERROR!
ID1539,28/01/2016 11:54,Diane,Air Conditioner,Y,Y,101,0:04:45,4,#ERROR!
ID1540,28/01/2016 11:54,Becky,Fridge,Y,Y,124,0:01:38,4,#ERROR!
ID1537,28/01/2016 11:29,Becky,Fridge,Y,Y,22,0:05:02,3,#ERROR!
ID1538,28/01/2016 11:29,Joe,Television,Y,N,96,0:03:54,1,#ERROR!
ID1535,28/01/2016 11:21,Becky,Toaster,Y,Y,66,0:05:44,4,#ERROR!
ID1536,28/01/2016 11:21,Becky,Fridge,Y,Y,65,0:01:51,5,#ERROR!
ID1533,28/01/2016 11:06,Stewart,Television,Y,Y,41,0:03:08,4,#ERROR!
ID1534,28/01/2016 11:06,Greg,Air Conditioner,Y,Y,26,0:01:47,5,#ERROR!
ID1531,28/01/2016 10:52,Martha,Washing Machine,Y,Y,90,0:04:45,3,#ERROR!
ID1532,28/01/2016 10:52,Dan,Toaster,Y,Y,104,0:06:11,5,#ERROR!
ID1529,28/01/2016 10:40,Diane,Washing Machine,Y,Y,48,0:01:31,3,#ERROR!
ID1530,28/01/2016 10:40,Diane,Television,Y,N,58,0:02:35,1,#ERROR!
ID1527,28/01/2016 10:04,Greg,Air Conditioner,Y,N,120,0:01:27,4,#ERROR!
ID1528,28/01/2016 10:04,Dan,Toaster,Y,Y,123,0:01:57,4,#ERROR!
ID1525,28/01/2016 9:46,Stewart,Air Conditioner,Y,Y,87,0:01:34,4,#ERROR!
ID1526,28/01/2016 9:46,Stewart,Air Conditioner,Y,Y,26,0:01:55,2,#ERROR!
ID1523,28/01/2016 9:12,Martha,Toaster,Y,Y,38,0:06:24,4,#ERROR!
ID1524,28/01/2016 9:12,Martha,Toaster,Y,Y,39,0:05:36,3,#ERROR!
ID1521,28/01/2016 9:11,Greg,Fridge,Y,Y,58,0:04:57,3,#ERROR!
ID1522,28/01/2016 9:11,Martha,Toaster,Y,Y,61,0:05:16,3,#ERROR!
ID1519,28/01/2016 9:04,Jim,Television,Y,Y,46,0:04:27,5,#ERROR!
ID1520,28/01/2016 9:04,Joe,Television,Y,Y,14,0:05:41,3,#ERROR!
ID1517,27/01/2016 17:42,Jim,Washing Machine,Y,Y,93,0:00:56,4,#ERROR!
ID1518,27/01/2016 17:42,Martha,Air Conditioner,N,N,,,,#ERROR!
ID1515,27/01/2016 17:18,Jim,Television,Y,Y,28,0:03:04,5,#ERROR!
ID1516,27/01/2016 17:18,Greg,Washing Machine,N,N,,,,#ERROR!
ID1513,27/01/2016 17:12,Jim,Television,Y,Y,107,0:03:07,4,#ERROR!
ID1514,27/01/2016 17:12,Dan,Toaster,Y,Y,77,0:06:04,3,#ERROR!
ID1511,27/01/2016 17:00,Becky,Toaster,Y,Y,31,0:04:27,1,#ERROR!
ID1512,27/01/2016 17:00,Joe,Washing Machine,Y,Y,33,0:06:32,2,#ERROR!
ID1509,27/01/2016 16:58,Martha,Washing Machine,Y,Y,100,0:02:43,4,#ERROR!
ID1510,27/01/2016 16:58,Jim,Washing Machine,Y,Y,27,0:05:09,3,#ERROR!
ID1507,27/01/2016 16:10,Jim,Fridge,Y,Y,77,0:03:15,5,#ERROR!
ID1508,27/01/2016 16:10,Joe,Fridge,Y,Y,16,0:05:21,4,#ERROR!
ID1505,27/01/2016 16:01,Dan,Toaster,Y,Y,99,0:04:22,3,#ERROR!
ID1506,27/01/2016 16:01,Greg,Air Conditioner,N,N,,,,#ERROR!
ID1503,27/01/2016 16:00,Jim,Fridge,Y,Y,26,0:01:56,2,#ERROR!
ID1504,27/01/2016 16:00,Martha,Fridge,Y,Y,96,0:06:29,4,#ERROR!
ID1501,27/01/2016 15:40,Stewart,Television,Y,Y,112,0:02:43,4,#ERROR!
ID1502,27/01/2016 15:40,Becky,Washing Machine,Y,N,10,0:03:42,4,#ERROR!
ID1499,27/01/2016 15:23,Becky,Fridge,Y,Y,10,0:06:04,5,#ERROR!
ID1500,27/01/2016 15:23,Diane,Television,N,N,,,,#ERROR!
ID1497,27/01/2016 15:21,Stewart,Toaster,Y,Y,10,0:01:25,5,#ERROR!
ID1498,27/01/2016 15:21,Dan,Fridge,Y,Y,19,0:04:43,2,#ERROR!
ID1495,27/01/2016 14:54,Dan,Air Conditioner,Y,Y,123,0:06:49,5,#ERROR!
ID1496,27/01/2016 14:54,Becky,Toaster,Y,Y,32,0:04:42,3,#ERROR!
ID1493,27/01/2016 14:45,Jim,Fridge,Y,Y,87,0:06:34,3,#ERROR!
ID1494,27/01/2016 14:45,Jim,Toaster,Y,Y,15,0:05:58,3,#ERROR!
ID1491,27/01/2016 13:52,Joe,Washing Machine,Y,Y,50,0:01:45,4,#ERROR!
ID1492,27/01/2016 13:52,Greg,Television,Y,Y,87,0:05:01,2,#ERROR!
ID1489,27/01/2016 13:27,Dan,Toaster,Y,Y,27,0:02:37,3,#ERROR!
ID1490,27/01/2016 13:27,Martha,Fridge,Y,Y,49,0:01:24,4,#ERROR!
ID1487,27/01/2016 13:22,Diane,Washing Machine,Y,Y,15,0:06:54,2,#ERROR!
ID1488,27/01/2016 13:22,Stewart,Fridge,Y,Y,47,0:04:07,2,#ERROR!
ID1485,27/01/2016 13:09,Dan,Television,Y,Y,45,0:03:53,5,#ERROR!
ID1486,27/01/2016 13:09,Dan,Television,Y,Y,84,0:02:33,2,#ERROR!
ID1483,27/01/2016 13:07,Dan,Television,Y,Y,58,0:02:01,4,#ERROR!
ID1484,27/01/2016 13:07,Diane,Television,Y,Y,86,0:03:27,2,#ERROR!
ID1481,27/01/2016 13:03,Jim,Fridge,Y,Y,114,0:04:21,3,#ERROR!
ID1482,27/01/2016 13:03,Jim,Air Conditioner,N,N,,,,#ERROR!
ID1479,27/01/2016 13:00,Martha,Air Conditioner,N,N,,,,#ERROR!
ID1480,27/01/2016 13:00,Martha,Television,Y,Y,50,0:03:51,5,#ERROR!
